first,second,third,likelihood_ratio
plus,faible,monde,211.27659927467718
plus,ignobles,calomnies,202.58435104758996
plus,niveau,etat,196.99090480106833
plus,profond,coeur,194.52953256088324
plus,facile,dire,186.93605169840095
plus,longtemps,possible,152.1009513120892
plus,prodigieux,destin,149.58586684064048
plus,grosses,capitalisations,144.78536662325988
plus,faire,confiance,131.02902714796977
plus,2000,lionel,126.04343357912676
plus,anglais,débarqué,122.84157840888521
plus,performante,assurer,113.94865285563807
plus,avenir,pays,110.65783580161228
plus,élevées,moyenne,102.99363843093961
plus,stérilisante,temps,91.09742130996766
plus,demandeurs,emplois,87.07423753344844
plus,tiers,entre,84.26214071661282
redressement,économique,social,456.54127064718216
soixante,après,guerre,185.54432352607392
avait,certain,nombre,7350.789111701553
avait,deuxième,tour,1419.7656995759426
chacun,commencer,celui,97.2142638266557
grands,groupes,payent,892.1075921440516
grands,partis,politiques,680.8789817571183
grands,féodaux,déchirent,304.40057003635144
assurer,renouvellement,faudrait,130.21938421580975
bompard,bompard,bompard,249.70451679009557
laxisme,judiciaire,moral,130.52393918341238
banque,centrale,européenne,384.8771863040074
banque,france,prêter,301.3511832716158
banque,france,prêtait,273.575741715625
banque,france,prérogative,266.8523809287092
après,élection,présidentielle,2281.6767278136413
après,deuxième,guerre,196.61203844275278
après,affaire,merah,103.69853240681257
charge,communauté,nationale,433.3250980884886
charge,financière,fiscale,128.52458238897736
charge,toute,misère,127.6808809169878
dégradation,pouvoir,achat,2227.1669040358893
subventions,associations,communautaristes,234.18207721512056
unes,après,autres,266.62107082449836
compte,tenu,situation,1095.6803490782459
compte,productivité,concurrence,112.63891337920259
compte,rendu,mandat,107.17164311531936
quelques,centaines,milliers,871.0088794946754
quelques,semaines,quelques,698.2236487940586
quelques,jours,après,696.1843941739662
quelques,jours,plus,671.1631750442737
quelques,semaines,élection,628.0183512388869
quelques,semaines,plus,623.2264053810351
quelques,mois,élection,551.9932734800706
quelques,mois,plus,531.4028244886347
quelques,mois,élections,527.475062347863
quelques,dizaines,milliers,418.4607428315061
mouvement,front,national,19024.321939477508
mouvement,dirigé,pendant,113.60910803339544
marine,candidat,socialiste,140.52487667308841
pacte,stabilité,budgétaire,179.50477347326395
campagne,front,national,19023.285926006698
campagne,électorale,présidentielle,1169.9075235296618
campagne,électorale,européenne,1127.9179307375027
campagne,électorale,législative,1118.7326475665348
campagne,présidentielle,suis,736.538518512142
campagne,élections,européennes,604.7825394834613
complicité,classe,politique,1380.604494607897
regarder,réalité,face,120.73441491874915
puissants,dans,temps,180.25747364812972
débarqué,normandie,écrasé,201.81930335169238
sera,épargné,échange,183.28335249384918
sera,pire,jospin,177.13026036381513
sera,refuser,complice,120.9655567014292
sera,chargé,adopter,113.65116547701557
dont,sait,bien,551.4686158563176
dont,voit,bien,392.3104312000085
dont,sait,pertinemment,390.91531661411483
dont,puisse,dire,352.80190266896943
dont,parle,jamais,190.15805563003127
dont,france,besoin,128.76596911524427
dont,suis,objet,121.18914970996951
dont,fallait,affranchir,114.60497050945206
dont,suis,président,110.16198034927297
dont,espère,faire,80.09378559479251
homme,politique,présenter,275.58152849386113
européenne,commission,européenne,357.8790389858794
européenne,droits,homme,205.11694560441316
politiciens,français,gauche,138.31757416914084
centaines,milliers,clandestins,808.6834220573456
sert,plus,rien,238.6966713210247
immigration,massive,incontrôlée,845.5764909400373
immigration,insécurité,chômage,466.3955764628072
immigration,masse,france,432.1844975394217
immigration,légale,clandestine,331.54406067810226
immigration,tiers,mondiste,239.17650301752738
immigration,travail,immigration,169.38870832743092
immigration,étrangère,massive,167.57355212635764
immigration,temporaire,travail,99.29796630346578
immigration,chance,france,88.73959120440318
recherche,emploi,plusieurs,127.41008479599414
répondre,appel,offre,278.0976528853863
passé,table,rase,185.59689526201316
passé,professionnel,chacun,112.85378826215468
quatre,millions,demi,475.55301352942536
quatre,millions,voix,330.31311644919566
quatre,coins,monde,238.93326543956695
quatre,plus,anglais,110.71910577484856
affaire,mantes,jolie,299.5658223466883
échec,nicolas,sarkozy,6935.341063246616
obtenir,nationalité,française,653.1188904049955
savez,quelque,chose,1949.8612384773576
savez,marque,point,106.40453782130076
frontières,vents,mondialisation,259.414441685233
frontières,leurs,justes,95.88808881631968
certes,parlement,européen,1081.8786262194938
république,vive,france,585.3345797477482
république,suffrage,universel,515.9498137641165
république,française,front,346.3637985901404
république,reconnaît,aucune,125.08319115546398
république,reconnait,aucune,123.55447657928258
banques,marchés,financiers,1498.7227668750438
banques,dépôt,banques,396.4465214760503
autour,front,national,19030.554883388762
résultats,toujours,plus,279.4383308278726
enfants,petits,enfants,335.0524820136798
enfants,france,doivent,59.14088833328784
soudards,cachot,sordide,288.1262439208974
transmission,savoirs,fondamentaux,284.79028433636597
parle,journalistes,parle,184.42209961362747
600ème,anniversaire,naissance,349.64112573671474
création,revenu,parental,185.83629586369872
voulu,faire,hier,235.40924188853296
distinction,nette,entre,156.3186001329424
banlieues,nicolas,sarkozy,6913.606089439923
permettez,monsieur,aphatie,1007.7039134983166
permettez,dire,considère,222.29067570976713
permettez,abord,remercier,174.11989819526005
permettez,nouvelle,remercier,153.23460480830937
permettez,citer,quelques,130.02382332663677
population,mondiale,passée,237.81388464762108
ouverture,totale,frontières,542.3060072977174
acte,prière,jésus,215.96974807041934
religieuse,neutralité,politique,173.64298531752542
angleterre,proclamé,france,134.28723124022483
objectif,arriver,pouvoir,147.30756149548768
intérêt,marchés,financiers,1447.9386516621444
intérêt,général,intérêt,625.1829956236656
intérêt,france,français,219.4537883269996
intérêt,français,intérêt,218.4583963398922
laïcité,neutralité,politique,179.20127556531344
responsabilité,devant,histoire,85.68734577671594
manière,dont,peuple,462.5209559339744
manière,plus,générale,90.23355459645245
raison,laquelle,propose,707.4396512322203
raison,laquelle,suis,691.3785121276582
contrôles,laisse,entrer,123.50463122112565
hollande,nicolas,sarkozy,6961.2016272968085
hollande,monsieur,sarkozy,357.2969899967785
armes,destruction,massive,252.2566422347685
armes,connétable,richemont,240.95552366663475
ingérence,affaires,intérieures,195.03213385976045
statut,fonction,publique,801.2832147755158
statut,juridique,social,220.0242267757741
bernard,henri,lévy,166.74265927724568
abord,voudrais,dire,268.2706897952839
abord,pense,faut,256.72058871071033
abord,tiens,dire,167.76296945867168
abord,faire,diagnostic,161.69270777341455
conseils,généraux,ainsi,804.5607382476169
conseils,régionaux,conseils,468.8551243130971
avenir,leurs,enfants,777.3988095727449
avenir,furent,principes,129.01507885988542
étais,somme,toute,688.1369672872697
étais,contre,intervention,140.2012153212659
situation,responsables,politiques,633.5070388861361
situation,économique,sociale,502.9340136168678
situation,dramatique,laquelle,348.5526658875762
