date,Europe,France,avenir,caste,chef,civilisastion,classe,classe moyenne,communauté,culture,devoir,droit,délinquance,démocracie,etat,euro,famille,finance,fraternité,genre,identité,immigration,immigré,intérêt,islam,islamisme,islamiste,laïcité,liberté,migratoire,millénaire,mondialisation,morale,mot,musulman,nation,nationalisation,nationalite,parole,patriote,patriotique,patriotisme,patronat,peuple,politique,priorité,protection,préférence,religieux,républicain,souveraineté,syndicats,systeme,total words,travail,vote,égalité,élites,éternel,étranger
2007-04-06,0,5,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,11,0,0,1,0,0,0,0,0,2567,3,0,1,0,0,0
2007-04-15,1,49,4,0,3,0,9,0,0,1,3,7,6,0,0,1,0,2,0,0,1,2,0,1,0,0,0,0,4,2,0,0,2,0,0,13,0,0,0,0,1,2,1,16,28,0,2,2,0,0,3,2,0,10445,9,5,1,0,0,1
2007-04-17,0,9,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,2,5,0,3,2,0,0,0,0,0,1898,3,0,0,0,0,0
2007-04-19,1,32,2,0,2,0,0,0,1,1,2,2,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,2,1,0,3,0,1,0,10,0,0,0,0,2,1,0,14,12,1,0,0,0,2,0,3,0,5460,4,2,0,0,1,0
2007-04-22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,585,0,0,0,0,2,0
2007-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,487,0,1,0,0,0,0
2007-09-14,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1446,1,0,0,0,0,0
2008-01-12,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,2233,1,0,0,0,0,0
2008-05-02,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,2,0,1867,0,0,0,0,0,0
2008-05-30,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1385,0,0,0,0,0,0
2008-12-30,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,934,0,0,0,0,0,0
2009-02-17,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1532,1,0,0,0,0,0
2009-09-20,0,19,0,0,0,0,1,0,0,0,0,3,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,5,0,0,0,0,0,0,2,0,4965,4,3,0,1,0,0
2009-11-28,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,4,2,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,4,0,2,0,1,0,0,1582,1,0,0,0,0,0
2009-12-21,0,3,0,0,0,0,0,0,0,0,1,7,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1646,0,0,0,0,0,0
2010-09-04,0,10,1,1,2,0,1,0,1,1,2,2,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,4,0,0,1,2,0,0,5,0,0,0,0,0,0,0,9,12,1,1,0,0,0,1,0,0,3285,5,1,0,0,0,0
2011-01-12,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,13,1,0,3,0,0,0,0,0,1497,1,0,0,0,0,0
2011-01-16,1,31,0,1,3,0,2,0,3,2,0,3,2,0,7,1,1,0,0,0,1,0,0,0,0,0,0,2,6,0,1,5,1,1,0,15,0,0,0,0,0,3,0,17,20,0,1,0,2,1,8,0,0,5789,5,2,0,1,0,0
2011-01-17,0,6,0,0,0,0,0,0,1,0,0,2,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2534,0,0,0,0,0,0
2011-01-30,0,13,3,0,1,0,1,0,0,1,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,4,4,0,4,0,0,0,2,0,0,3209,1,0,0,0,0,0
2011-02-12,0,6,0,3,0,0,2,0,1,3,3,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1,0,1,0,0,0,0,0,0,0,6,16,1,0,0,0,0,0,0,0,5349,1,1,0,2,0,0
2011-02-20,1,20,1,0,1,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,2,2,0,0,2,0,0,1,1,0,0,0,0,0,0,0,7,19,0,3,0,0,0,3,0,0,5230,0,0,0,0,0,3
2011-02-28,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1382,0,0,0,0,0,0
2011-03-11,1,7,1,2,0,0,3,0,0,1,1,2,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,5,0,0,5,3,0,0,4,0,0,0,0,0,0,0,9,11,1,4,0,0,0,0,4,0,3931,6,0,0,1,0,0
2011-03-12,0,14,0,1,1,0,3,0,0,0,1,3,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,2,0,1,2,1,0,3,0,0,0,0,0,0,0,3,6,0,0,0,0,0,1,2,0,3642,4,0,0,0,0,0
2011-03-17,0,3,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5,12,0,2,0,0,1,0,0,0,2147,0,2,0,0,0,0
2011-03-22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,1,0,0,1038,0,0,0,0,0,0
2011-03-23,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1427,1,0,0,0,0,0
2011-04-27,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1076,0,0,0,0,0,0
2011-05-01,1,22,5,1,0,0,2,0,4,1,1,1,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,1,65,0,1,3,2,3,1,4,0,0,1,0,2,1,0,22,5,0,0,0,0,1,14,3,0,5321,4,0,0,4,0,0
2011-05-13,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1372,1,0,0,0,0,0
2011-05-26,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,992,0,0,0,0,0,0
2011-06-14,0,2,0,0,0,0,0,0,0,0,2,4,0,0,0,2,1,0,0,0,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,7,0,0,3,0,0,0,0,0,3153,2,0,0,0,0,0
2011-07-10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,549,0,2,0,0,0,0
2011-08-24,0,8,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1421,0,0,0,0,0,0
2011-09-02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,1074,0,0,0,0,0,0
2011-09-08,0,10,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,2595,0,0,0,0,0,0
2011-09-11,2,42,4,1,4,0,1,0,1,2,0,8,3,0,5,4,0,3,0,0,2,3,0,1,0,0,0,2,4,1,0,4,0,1,0,5,0,0,2,0,0,1,0,10,13,0,4,0,1,0,3,0,0,7010,8,0,0,0,0,0
2011-09-15,0,8,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,0,0,3046,2,0,0,0,0,1
2011-10-30,0,21,2,0,0,0,2,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,3,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9,7,0,2,0,0,0,1,4,0,7525,1,1,0,0,0,0
2011-11-08,1,14,0,0,0,0,1,0,0,0,0,2,0,0,1,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,8,2,3,0,0,0,0,0,0,6276,0,1,0,0,0,0
