first,second,third,likelihood_ratio
juridique,social,mère,176.03774584572116
compare,suis,orgueilleux,187.45890881685722
puissants,dans,temps,180.25763842495505
arabe,députation,paris,354.7759302806059
banlieues,nicolas,sarkozy,6913.6094242654
mandat,nicolas,sarkozy,6921.20002562762
mandat,président,république,4120.1225040740355
obligation,dont,fallait,99.00073654628133
martin,sera,refuser,138.20829163701808
affranchir,moyen,oppression,148.31144519378614
chacun,commencer,celui,97.21433159058918
agit,front,national,19029.609453106004
individuelle,dignité,sociale,112.88454143867165
grande,partie,entre,679.7245542082169
grande,différence,entre,300.03819724284466
grande,pitié,royaume,240.3615698113897
grande,politique,développement,98.06032367771257
compte,tenu,situation,1095.6809240656835
compte,productivité,concurrence,112.63896528433624
compte,rendu,mandat,107.17169562526902
taux,intérêt,extrêmement,198.96800286679795
martinez,serge,félon,168.68240861932912
venir,installer,france,119.48325649189228
points,dessus,moyenne,147.62170949864304
dépôt,banques,spéculatives,234.02486737421583
cautères,jambes,bois,246.1350574131522
principes,république,française,368.854588287525
cartes,vitales,circulation,382.15302762339957
ajouter,constitution,française,130.23799527624448
contribution,sociale,importation,336.3435490922813
train,mettre,place,1048.252851928671
train,mettre,œuvre,555.1691589677213
train,anciens,compagnons,179.88261274920387
travailleur,emploi,charge,116.07895288216821
royal,monsieur,sarkozy,361.4099268873683
voté,contre,traité,206.94989239690872
accueillir,millions,immigrés,228.96501618785987
accueillir,toute,misère,164.5049402120331
députation,paris,1957,310.5907206360345
occurrence,jean,marie,2850.9599353649683
sarkozy,nicolas,sarkozy,6906.645669702678
sarkozy,françois,hollande,1679.3779446945912
sarkozy,ministre,intérieur,803.4240452186284
sarkozy,ségolène,royal,621.9930342622795
sarkozy,faut,bien,498.69359511427547
sarkozy,dominique,strauss,458.77903427375816
sarkozy,bayrou,royal,212.99095586816458
sarkozy,avait,promis,206.1254861760649
sarkozy,royal,bayrou,179.07821099664358
condamnés,prison,ferme,308.0485966926399
enfin,chers,amis,2379.5729192538283
enfin,veux,dire,950.6758261268594
nombre,autres,pays,422.0434288695701
nombre,électeurs,front,203.6902654231169
rapprocher,salaires,manuels,284.90019625796225
faisons,choix,oubliés,110.40402637060816
militants,front,national,19075.395212743926
seine,saint,denis,278.3668556572575
métropole,outre,étranger,219.49326483891807
normandie,écrasé,chevalerie,232.81523580352416
protections,intelligentes,frontières,235.79690333244292
supprimer,définitivement,aides,121.40578383146942
amour,patrie,terrestre,348.2655622134941
amour,peuple,amour,129.66058008535015
absolument,aucune,raison,255.2427755114632
parité,franc,euro,229.7021654763117
régionales,mars,2010,151.14412096087906
mettre,place,protectionnisme,1119.5185400681723
mettre,droits,douane,1069.9525556591097
mettre,place,patriotisme,1001.7418451376147
mettre,place,priorité,1001.240473837757
mettre,place,politique,990.3631549065335
mettre,place,pays,974.4071297476803
mettre,œuvre,atteindre,512.7214981149322
mettre,oeuvre,grand,397.40542156172364
mettre,protections,frontières,227.38283234936029
mettre,france,abri,85.62972507849926
couper,pompes,aspirantes,586.534873161404
chose,front,national,19020.83980962007
chose,égale,ailleurs,119.33810541025437
chose,bien,plus,35.57743251649993
homme,politique,présenter,275.5818587293305
commencer,celui,ministres,103.25590056181193
pauvres,faibles,riches,161.1378946831319
pupille,nation,père,227.49004088793134
fausses,cartes,vitales,352.06499216294503
écrire,monter,cheval,154.5302139314872
aide,médicale,etat,791.1393173358304
ouvrir,yeux,français,204.17405223048877
mois,élection,présidentielle,2198.9336838139316
mois,plus,tard,844.2296471961531
mois,deux,mois,152.30257422009473
destruction,services,publics,1834.8360760849555
membre,bureau,politique,728.4770416072048
1974,regroupement,familial,700.4750925976142
services,publics,proximité,1856.1684650715092
services,publics,patrimoine,1830.6360615901795
services,publics,bien,1799.4440040786885
martyre,plan,spirituel,146.94606279339007
euro,veut,dire,1336.2153166294986
euro,monnaie,commune,240.3163109734354
euro,franc,serait,107.88143244533805
rmistes,millions,titulaires,160.99741525190618
pression,baisse,salaires,680.5789240591884
place,protectionnisme,intelligent,585.6122781481931
place,patriotisme,économique,584.7077193939836
place,politique,dissuasive,205.1959673983833
intégré,culture,nationale,112.00183687219729
attendent,logement,social,350.88304312148193
pages,faits,divers,257.25323483365975
savent,lire,écrire,399.002914035378
lorraine,excusez,aller,114.41120604769581
choses,soient,claires,429.3902898397588
choses,peuvent,changer,98.10350227653535
culture,nationale,érigé,114.43687414823896
syndicat,magistrature,syndicat,422.41885570437523
syndicat,défense,intérêts,207.08724685744502
maîtrise,frontières,maîtrise,235.84174099151733
préférence,nationale,réponse,952.0572356135042
préférence,nationale,embauche,949.7327799291767
préférence,nationale,emploi,936.4277065526685
travail,famille,patrie,104.99001621913729
travail,cause,excès,95.86528237258139
travail,faire,travailleur,95.37021723148644
établira,mystérieux,contact,195.68515322836092
mesures,immédiates,concrètes,182.66486314354557
mesures,prises,sarkozy,111.40814532251228
mesures,prendre,paris,109.95660554148162
vigoureuse,contre,ennemi,141.95961863051897
lien,entre,générations,166.56474338839487
retrouver,monnaie,nationale,464.4592697809187
retrouver,souveraineté,monétaire,238.36945689877575
assurer,renouvellement,faudrait,130.2194374338405
augmentation,pouvoir,achat,2209.062727985639
veulent,travailler,veulent,305.6252072070255
seconde,guerre,mondiale,584.3674723538344
ancien,premier,ministre,1485.9887734842384
ancien,ministre,intérieur,978.6257491126618
ancien,secrétaire,général,308.11109170029397
ancien,ministre,commissaire,274.45631360592597
veux,mettre,place,1043.1866947457183
veux,dire,suis,890.8362205293008
veux,dire,faut,865.9246641841075
veux,mettre,œuvre,555.7763178529635
dotation,rurale,équité,220.04154528350585
invasion,tiers,mondiste,266.2330170580114
2000,lionel,jospin,438.6067916334864
aujourd,front,national,19018.089372398543
aujourd,plus,plus,550.0500593397751
aujourd,plus,jamais,111.01063048056133
aujourd,intégré,culture,107.71874235386724
ailleurs,front,national,19020.486119200203
ailleurs,certain,nombre,7343.567031012913
ailleurs,nicolas,sarkozy,6895.003860574489
ailleurs,etats,unis,2752.0794029517465
ailleurs,raison,laquelle,708.7125298654786
ailleurs,plus,plus,534.6512816659866
ailleurs,faut,bien,504.8350129353541
ailleurs,faut,dire,398.7789483127361
ailleurs,voit,bien,384.584541850368
