first,second,third,likelihood_ratio
moyenne,zone,euro,372.35492788185104
moyenne,pays,européens,283.2852293951171
emploi,logement,aides,221.52807129010307
emploi,charge,collectivité,173.45499296213495
emploi,plusieurs,assistances,131.35918301292173
armées,chef,justice,181.4269043481486
nation,père,mort,170.22250961548724
temporaire,travail,immigration,106.48733335327049
protéger,marché,intérieur,199.19001674634455
famille,école,armée,151.26715423918353
permettez,abord,remercier,153.3508185998513
devoir,aimer,prochain,126.44564177504847
toutes,régions,france,155.5636368448146
français,chers,compatriotes,509.54926108487473
français,plus,plus,352.2279646507157
français,rendent,compte,289.32798189768977
français,origine,étrangère,283.1258455820532
français,doivent,savoir,267.30783073331406
français,citoyens,français,166.07183920763688
français,rassemblement,forces,88.56065621684476
arts,armes,lois,149.30953478373002
situation,économique,sociale,361.8426832564133
situation,actuelle,france,95.09961098237339
proclamé,france,jeanne,103.52703998567135
beaucoup,hommes,politiques,705.1686103904983
beaucoup,autres,gens,314.5647731803495
beaucoup,autres,choses,304.7342106498667
beaucoup,pays,contrainte,94.06709736316559
sympathisants,front,national,12844.531623898863
savoir,lire,écrire,380.87270153097074
sociale,moyen,prospérité,93.09291445674148
quelque,chose,important,1201.237230541434
quelque,chose,extraordinaire,1196.2023301750628
quelque,chose,assez,1171.0185112308477
quelque,chose,crois,1153.7305478868495
quelque,chose,beaucoup,1153.3532840644532
puissants,dans,temps,146.48610745740473
fête,travail,travailleurs,317.0019180659813
voix,front,national,12859.26493333443
voix,élections,présidentielles,576.7000019774326
liberté,équité,fraternité,255.48173864623573
liberté,égalité,fraternité,245.57378036347467
liberté,sécurité,prospérité,238.11382777064566
liberté,pensée,liberté,234.40174397522614
liberté,soucieuse,humbles,137.84642555022464
liberté,individuelle,dignité,136.40765464018088
contrainte,injuste,effort,133.04780707957372
royal,monsieur,sarkozy,383.8945851756919
institution,droits,douane,432.55079219563476
libre,circulation,hommes,416.5569084774803
libre,échangisme,débridé,382.3582546275415
libre,choix,temps,94.83904667629591
salaires,travailleurs,manuels,289.66329814318846
salaires,manuels,salaires,282.79775119980445
salaires,travailleurs,français,271.17599321581565
programme,front,national,12866.21885934419
respect,ordre,naturel,164.15284285234398
présidé,infâme,évêque,296.3340538805924
dégradation,pouvoir,achat,661.3122470940366
mais,front,national,12793.630418448818
mais,bien,évidemment,486.243654984643
mais,vais,dire,406.8591434490978
mais,cher,monsieur,385.02134114376577
mais,faut,savoir,252.97792658908773
mais,crois,crois,224.51652597242776
mais,démontrons,paris,113.4294402375554
grands,partis,politiques,432.0902312310126
grands,féodaux,déchirent,294.81498191947543
elle,rencontre,chinon,179.87900863680676
elle,échappera,techniques,147.9951784809245
elle,croit,miraculeux,132.816436860503
elle,reste,mois,81.32428594016753
perdu,millions,emplois,207.3682259016818
perdu,presque,1422,160.3469290328577
oeuvre,libre,circulation,399.5134216480494
fiscale,plus,plus,385.25757929992284
successions,ligne,directe,250.28247885756596
subissent,mêmes,charges,208.52386551384978
600ème,anniversaire,naissance,293.8926928937052
déchirent,belles,dents,176.94318271240462
1200,milliards,euros,1025.149886176318
banni,pape,martin,302.23667504569653
jours,premier,tour,726.7049805837366
mort,certain,nombre,3922.13886394442
mort,brûlée,vive,203.52392830459746
mort,france,1942,101.30639460910399
mort,france,pendant,77.6784313233057
majorité,socialo,communiste,306.09432939227526
majorité,qualifiée,conseil,206.3214536374042
entre,tours,élection,281.1692681640231
vers,2013,pour,103.25895743441363
